# S1              S2
  2.7727440e+001  2.6997576e+003
  3.0513790e+001  2.4310515e+003
  5.3916820e+000  1.0770857e+003
  2.5164810e+001  2.5824008e+003
  3.3781250e+001  3.7779196e+003
  2.5531110e+001  3.3275738e+003
  1.2651680e+001  2.4325860e+003
  1.3026540e+001  1.4813343e+003
  3.1135990e+001  3.1819451e+003
  2.2523880e+001  2.9912603e+003
  1.2085950e+001  3.3543301e+003
  3.0966580e+001  3.2346049e+003
  3.6119160e+001  4.1736271e+003
  2.0037340e+001  2.1580031e+003
  8.9657720e+000  1.8706722e+003
  1.5322750e+001  2.4020482e+003
  3.4292400e+000  7.3335436e+002
  3.5602510e+000  1.1675369e+003
  3.0516190e+001  3.3544190e+003
  3.7974300e+001  6.6247696e+003
  3.9183710e+001  4.2161743e+003
  1.9712980e+001  2.2948446e+003
  1.2389330e+001  1.3189849e+003
  6.6123290e+000  1.1857618e+003
  2.8853960e+001  1.4035065e+003
  8.0156250e+000  9.4983330e+002
  1.3647770e+001  2.1256252e+003
  2.4673620e+001  3.8211305e+003
  1.4734730e+001  1.9561591e+003
  3.5475890e+001  2.8037824e+003
  1.8478270e+001  2.8572833e+003
  1.0788610e+001  1.3897750e+003
  2.3016520e+001  1.5017017e+003
  2.3233780e+001  4.4533812e+003
  1.2318830e+001  2.7461703e+003
  3.6333640e+001  4.5203380e+003
  3.5402640e+000  8.5142549e+002
  2.7091850e+000  1.1598015e+003
  1.0457780e+001  2.4636471e+003
  3.9673700e+001  5.0424164e+003
  3.6773830e+001  4.8206973e+003
  1.4692030e+001  2.1659818e+003
  3.5513970e+001  4.5099759e+003
  9.5432310e+000  1.9672404e+003
  1.9097520e+001  2.0977657e+003
  1.1052980e+001  2.1724930e+003
  1.0060140e+001  1.5424853e+003
  2.2432860e+001  2.9489924e+003
  2.3810300e+001  2.1405426e+003
  3.9883420e+001  4.3921119e+003
  1.9765100e+001  2.9234321e+003
  3.0261590e+001  2.2491776e+003
  3.2237320e+001  3.6596616e+003
  1.0692620e+001  1.3499234e+003
  1.2155090e+001  1.5739871e+003
  2.0180090e+001  2.1879939e+003
  8.1685030e+000  1.6877086e+003
  2.9047140e+001  2.3831774e+003
  6.1495680e+000  1.9851559e+003
  3.8032780e+001  4.6423627e+003
  2.5387230e+001  2.3301577e+003
  1.8402030e+001  1.4592131e+003
  3.9231780e+001  2.1775093e+003
  1.0624500e+001  1.1821607e+003
  2.7860190e+001  4.4830344e+003
